Date;Total value in rubles;Total value in dollars;As pc of gdp;Liquid part in rubles;Liquid part in dollars;Dollars (in dollars);Euros (in euros);Sterlings (in sterlings);Yens (in yen);Yuan (in yuan);Gold (in T);Rubles;Deposits CBR;Link;Note;;
Feb 1, 24;11.922 tr;133.526 bn;6.6;4.907 tr;54.958 bn;0 bn;0 bn;0 bn;0 bn;227.517 bn;358.96;0.2948 bn;0.6585894 bn;"https://interfax.com/newsroom/top-stories/99103/; https://minfin.gov.ru/ru/press-center/?id_4=38842-o_rezultatakh_razmeshcheniya_sredstv_fonda_natsionalnogo_blagosostoyaniya";;;
Jan 1, 24;11.965 tr;133.407 bn;8.0;5.013 tr;55.88 bn;0 bn;0 bn;0 bn;0 bn;227.331 bn;358.961 t;1.514 bn;0.6583585 bn;https://interfax.com/newsroom/top-stories/98506/;"In December, a portion of NWF funds on accounts with the Bank of Russia in the amounts of 114.948 billion Chinese yuan, 232.585 tonnes of unallocated gold and 573.7 million euros was sold for 2.9 trillion rubles. The proceeds were credited to the unified federal budget account in order to finance its deficit. As a result of these conversion operations, the NWF account in euros with the Central Bank of Russia was zeroed out.
Also in December, funds in foreign currency in the amount of 62.505 billion Chinese yuan and 91.312 tonnes of unallocated gold, acquired at the expense of the federal budget in August-December as a result of additional oil and gas revenues of the federal budget, were credited to the relevant NWF accounts.";;
Dec 1, 23;13.433 tr;151.129 bn;9.0;6.747 tr;75.902 bn;0 bn;3.269 bn;0 bn;0 bn;279.774 bn;508.265 t;1.188 bn;;https://interfax.com/newsroom/top-stories/99103/;;;
Nov 1, 23;13.541 tr;145.224 bn;9.0;6.938 tr;74.411 bn;0 bn;3.667 bn;0 bn;0 bn;279.774 bn;508.265;0.2618 bn;;"https://interfax.com/newsroom/top-stories/97544/; https://www.interfax.ru/business/928998";;;
Oct 1, 23;13.648 tr;140.106 bn;9.1;7.140 tr;73.297 bn;0 bn;4.071 bn;0 bn;0 bn;279.774 bn;508.265;0.396 bn;;https://www.kommersant.ru/doc/6253963;;;
Sep 1, 23;13.703 tr;142.853 bn;9.1;7.252 tr;75.594 bn;0 bn;5.224 bn;0 bn;0 bn;279.774 bn;508.265;6.776 b;;https://interfax.com/newsroom/top-stories/97975/;"- by the beginning of 2024, the volume of the fund would be 12.177 trillion rubles, and replenishment was planned at 1.089 trillion rubles - initial assessment of liquid assets in September: 7.252 tr (so actually overestimation) - strangely the 570.2 kg of gold meant to have been sold do not modify the balance";;
Aug 1, 23;13.313 tr;146.337 bn;8.9;7.183 tr;78.957 bn;0 bn;7.278 bn;0 bn;0 bn;280.159 bn;508.835;5.491 bn;;"https://interfax.com/newsroom/top-stories/93312/; https://www.interfax.ru/business/914845";- Strangely the 3kg of gold sold do not modify the balance;;
Jul 1, 23;12.67027 tr;145.578 bn;8.4;6.446 tr;72 b;0 bn;7.278 bn;0 bn;0 bn;280.159;508.835;0.404 bn;;"https://tass.com/economy/1641933; https://www.interfax-russia.ru/main/fnb-v-iyule-vyros-na-643-2-mlrd-rub-do-13-3-trln-rub-likvidnaya-chast-sostavila-4-8-vvp; for different numbers for the liquid assets see here: https://www.interfax.ru/business/910240 (6.811 trillion rubles, or $78.258 billion, which corresponds to 4.5% of GDP)";;;
Jun 1, 23;12.3531 tr;153.099 bn;8.2;6.643 tr;82.33 bn;0 bn;9.055 bn;0 bn;0 bn;285.736 bn;517.114;0.2328 bn;;https://www.interfax.ru/business/904497;;;
May 1, 23;12.47588 tr;162 bn;8.3;6.829 tr;84.818 bn;0 bn;9.234 bn;0 bn;0 bn;288.330 bn;520.974;0.2328bn ;;"https://tass.com/economy/1614197; https://www.interfax.ru/business/900306";;;
